entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2026-02-17 01:00:00,85.08,0.6570203,0.015,0.01,0.0911830881859091,sl,84.22919999999999,2026-02-18 01:15:00,-0.01,15.0
2026-02-18 01:00:00,81.61,0.6585673,0.015,0.01,0.09089397307752904,sl,80.7939,2026-02-19 12:45:00,-0.01,705.0
2026-02-24 01:00:00,78.99,0.64683074,0.015,0.01,0.061725715732552054,tp,80.17484999999999,2026-02-25 01:00:00,0.015,0.0
2026-03-02 01:00:00,86.64,0.6848158,0.015,0.01,0.06813909774436089,sl,85.7736,2026-03-03 02:00:00,-0.01,60.0
2026-03-03 01:00:00,86.97,0.6544812,0.015,0.01,0.06803659718457924,sl,86.1003,2026-03-04 03:30:00,-0.01,150.0
2026-03-04 01:00:00,90.85,0.624363,0.015,0.01,0.06800849123358754,sl,89.94149999999999,2026-03-05 01:30:00,-0.01,30.0
2026-03-05 01:00:00,88.77,0.71859586,0.015,0.01,0.07120327008802843,sl,87.8823,2026-03-06 04:30:00,-0.01,210.0
2026-03-06 01:00:00,84.7,0.7443296,0.015,0.01,0.07626918536009444,sl,83.85300000000001,2026-03-07 14:00:00,-0.01,780.0
2026-03-08 01:00:00,81.59,0.65462685,0.015,0.01,0.07986798102008297,tp,82.81385,2026-03-09 01:15:00,0.015,15.0
2026-03-09 01:00:00,84.96,0.6061769,0.015,0.01,0.07654862792574656,tp,86.23439999999998,2026-03-10 02:30:00,0.015,90.0
2026-03-10 01:00:00,85.88,0.64800984,0.015,0.01,0.07571195688335883,sl,85.0212,2026-03-11 09:30:00,-0.01,510.0
2026-03-13 01:00:00,88.18,0.73216873,0.015,0.01,0.06296374299322813,sl,87.29820000000001,2026-03-14 06:30:00,-0.01,330.0
2026-03-15 01:00:00,92.3,0.60023284,0.015,0.01,0.05421761337254293,sl,91.377,2026-03-16 02:15:00,-0.01,75.0
2026-03-16 01:00:00,96.2,0.674309,0.015,0.01,0.050965250965250945,sl,95.238,2026-03-17 01:00:00,-0.01,0.0
2026-03-17 01:00:00,94.62,0.7925076,0.015,0.01,0.05094060452335657,sl,93.6738,2026-03-18 10:30:00,-0.01,570.0
2026-03-23 01:00:00,91.43,0.6230835,0.015,0.01,0.05001484351807005,sl,90.51570000000001,2026-03-24 01:30:00,-0.01,30.0
