entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-10-20 02:00:00,3979.22,0.66448736,0.015,0.01,0.07855541681894587,sl,3939.4278,2025-10-21 02:00:00,-0.01,0.0
2025-10-21 02:00:00,3873.05,0.7772492,0.015,0.01,0.07969798626774398,sl,3834.3195,2025-10-22 09:15:00,-0.01,435.0
2025-10-22 02:00:00,3805.53,0.73175097,0.015,0.01,0.08170046522523051,tp,3862.6129499999997,2025-10-23 06:15:00,0.015,255.0
2025-11-03 01:00:00,3603.83,0.76317936,0.015,0.01,0.05103935059565596,sl,3567.7916999999998,2025-11-04 05:15:00,-0.01,255.0
2025-11-04 01:00:00,3287.05,0.8721923,0.015,0.01,0.06308087799090367,sl,3254.1795,2025-11-05 01:00:00,-0.01,0.0
2025-11-06 01:00:00,3315.14,0.78243756,0.015,0.01,0.06701117556767694,sl,3281.9885999999997,2025-11-07 01:30:00,-0.01,30.0
2025-11-08 01:00:00,3401.51,0.66504914,0.015,0.01,0.06896075986421157,sl,3367.4949,2025-11-09 02:45:00,-0.01,105.0
2025-11-10 01:00:00,3567.85,0.73554105,0.015,0.01,0.06570163303630239,tp,3621.3677499999994,2025-11-11 01:15:00,0.015,15.0
2025-11-11 01:00:00,3417.76,0.6781388,0.015,0.01,0.0685620322751075,tp,3469.0263999999997,2025-11-12 08:30:00,0.015,450.0
2025-11-12 01:00:00,3414.92,0.6357043,0.015,0.01,0.06904261300411138,sl,3380.7708000000002,2025-11-13 03:15:00,-0.01,135.0
2025-11-13 01:00:00,3231.54,0.7089715,0.015,0.01,0.07611872800142172,sl,3199.2246,2025-11-14 01:00:00,-0.01,0.0
2025-11-14 01:00:00,3112.4,0.74561924,0.015,0.01,0.08079915361595097,tp,3159.086,2025-11-15 01:30:00,0.015,30.0
2025-11-16 01:00:00,3095.29,0.7744238,0.015,0.01,0.08601848061317129,tp,3141.71935,2025-11-17 01:00:00,0.015,0.0
2025-11-17 01:00:00,3031.44,0.7823075,0.015,0.01,0.08567309831065673,sl,3001.1256,2025-11-18 02:00:00,-0.01,60.0
2025-11-18 01:00:00,3123.66,0.7421586,0.015,0.01,0.07458809766199177,sl,3092.4233999999997,2025-11-19 01:00:00,-0.01,0.0
2025-11-19 01:00:00,3025.48,0.8025759,0.015,0.01,0.07554716229207552,sl,2995.2252,2025-11-20 10:00:00,-0.01,540.0
2025-11-20 01:00:00,2834.22,0.67729133,0.015,0.01,0.0822226725014794,tp,2876.7332999999994,2025-11-21 01:15:00,0.015,15.0
2025-11-21 01:00:00,2765.85,0.77956665,0.015,0.01,0.08385125729884124,sl,2738.1915,2025-11-22 04:00:00,-0.01,180.0
2025-11-22 01:00:00,2770.12,0.6619284,0.015,0.01,0.08274886492797633,tp,2811.6717999999996,2025-11-23 01:45:00,0.015,45.0
2025-11-23 01:00:00,2802.16,0.63922185,0.015,0.01,0.07734900423754738,tp,2844.1923999999995,2025-11-24 02:00:00,0.015,60.0
2025-12-15 01:00:00,2964.85,0.6334051,0.015,0.01,0.06306100766360138,sl,2935.2014999999997,2025-12-16 03:00:00,-0.01,120.0
2025-12-17 01:00:00,2833.49,0.77109796,0.015,0.01,0.0625760357116388,tp,2875.9923499999995,2025-12-18 13:00:00,0.015,720.0
2025-12-18 01:00:00,2828.57,0.74367976,0.015,0.01,0.06390281005192426,tp,2870.99855,2025-12-19 03:00:00,0.015,120.0
