entry_date,entry_price,prob_tp,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2023-02-24 01:00:00,23.07,0.6316483,sl,22.8393,2023-02-25 05:30:00,-0.01,270.0
2023-02-25 01:00:00,22.37,0.7492823,tp,22.817400000000003,2023-02-26 07:45:00,0.02,405.0
2023-03-08 01:00:00,18.41,0.6676421,tp,18.778200000000002,2023-03-09 06:45:00,0.02,345.0
2023-03-09 01:00:00,17.33,0.88659835,sl,17.156699999999997,2023-03-10 01:00:00,-0.01,0.0
2023-03-10 01:00:00,18.17,0.83943707,tp,18.5334,2023-03-11 01:30:00,0.02,30.0
2023-03-11 01:00:00,18.07,0.70009637,sl,17.8893,2023-03-12 01:30:00,-0.01,30.0
2023-03-17 01:00:00,21.6,0.61713016,tp,22.032000000000004,2023-03-18 01:00:00,0.02,0.0
2023-03-18 01:00:00,21.2,0.645943,tp,21.624,2023-03-19 01:30:00,0.02,30.0
2023-03-20 01:00:00,22.13,0.639268,tp,22.572599999999998,2023-03-21 01:45:00,0.02,45.0
2023-03-22 01:00:00,21.42,0.83698845,sl,21.2058,2023-03-23 01:45:00,-0.01,45.0
2023-03-24 01:00:00,20.66,0.6891165,sl,20.4534,2023-03-25 09:15:00,-0.01,495.0
2023-03-25 01:00:00,20.41,0.6830073,tp,20.8182,2023-03-26 05:45:00,0.02,285.0
2023-04-11 02:00:00,22.98,0.7240913,sl,22.7502,2023-04-12 02:00:00,-0.01,0.0
2023-04-12 02:00:00,23.8,0.803065,tp,24.276,2023-04-13 07:00:00,0.02,300.0
2023-04-13 02:00:00,24.43,0.68428206,tp,24.9186,2023-04-14 02:00:00,0.02,0.0
2023-04-14 02:00:00,24.71,0.8342697,sl,24.4629,2023-04-15 02:00:00,-0.01,0.0
2023-04-15 02:00:00,24.05,0.7941073,tp,24.531000000000002,2023-04-16 18:45:00,0.02,1005.0
2023-04-16 02:00:00,25.34,0.7013001,tp,25.8468,2023-04-17 02:45:00,0.02,45.0
2023-04-17 02:00:00,24.58,0.880363,sl,24.3342,2023-04-18 02:00:00,-0.01,0.0
2023-04-19 02:00:00,22.66,0.83204025,sl,22.4334,2023-04-20 03:00:00,-0.01,60.0
2023-04-20 02:00:00,22.2,0.7596275,sl,21.977999999999998,2023-04-21 06:30:00,-0.01,270.0
2023-04-21 02:00:00,21.25,0.7632867,tp,21.675,2023-04-22 15:00:00,0.02,780.0
2023-04-23 02:00:00,21.47,0.7106766,sl,21.2553,2023-04-24 07:15:00,-0.01,315.0
2023-04-24 02:00:00,21.38,0.6306651,sl,21.1662,2023-04-25 02:00:00,-0.01,0.0
2023-04-26 02:00:00,21.28,0.6931195,tp,21.7056,2023-04-27 02:00:00,0.02,0.0
2023-04-28 02:00:00,23.34,0.7946563,tp,23.8068,2023-04-29 12:45:00,0.02,645.0
2023-04-29 02:00:00,23.19,0.68283546,tp,23.6538,2023-04-30 08:30:00,0.02,390.0
2023-04-30 02:00:00,22.74,0.6923686,sl,22.5126,2023-05-01 02:00:00,-0.01,0.0
2023-05-01 02:00:00,21.96,0.76592904,eod,21.98,2023-05-03 01:45:00,0.0009107468123861372,1440.0
2023-05-06 02:00:00,21.91,0.74404794,tp,22.348200000000002,2023-05-07 14:30:00,0.02,750.0
2023-05-08 02:00:00,20.62,0.80221957,sl,20.413800000000002,2023-05-09 06:30:00,-0.01,270.0
2023-05-09 02:00:00,20.65,0.6644695,tp,21.063,2023-05-10 12:30:00,0.02,630.0
2023-05-11 02:00:00,20.17,0.6173444,sl,19.968300000000003,2023-05-12 02:45:00,-0.01,45.0
2023-05-13 02:00:00,20.84,0.67269146,tp,21.256800000000002,2023-05-14 15:00:00,0.02,780.0
2023-05-16 02:00:00,20.67,0.6034192,sl,20.4633,2023-05-17 12:00:00,-0.01,600.0
2023-05-28 02:00:00,20.81,0.6935698,sl,20.601899999999997,2023-05-29 04:15:00,-0.01,135.0
2023-05-29 02:00:00,20.57,0.79891855,tp,20.9814,2023-05-30 02:45:00,0.02,45.0
2023-05-30 02:00:00,21.25,0.7762852,sl,21.0375,2023-05-31 02:00:00,-0.01,0.0
2023-05-31 02:00:00,20.81,0.6013398,sl,20.601899999999997,2023-06-01 02:45:00,-0.01,45.0
2023-06-01 02:00:00,20.49,0.62635565,tp,20.8998,2023-06-02 04:30:00,0.02,150.0
2023-06-02 02:00:00,21.26,0.68670034,sl,21.0474,2023-06-03 05:45:00,-0.01,225.0
2023-06-05 02:00:00,20.0,0.8912464,sl,19.8,2023-06-06 02:00:00,-0.01,0.0
2023-06-06 02:00:00,20.38,0.79621,sl,20.176199999999998,2023-06-07 02:15:00,-0.01,15.0
2023-06-10 02:00:00,15.61,0.662236,sl,15.453899999999999,2023-06-11 04:15:00,-0.01,135.0
2023-06-13 02:00:00,15.04,0.74968785,tp,15.3408,2023-06-14 17:45:00,0.02,945.0
2023-06-14 02:00:00,14.48,0.7367102,tp,14.7696,2023-06-15 02:30:00,0.02,30.0
2023-06-15 02:00:00,14.77,0.6830384,sl,14.6223,2023-06-16 11:15:00,-0.01,555.0
2023-06-18 02:00:00,15.45,0.7113379,tp,15.759,2023-06-19 17:45:00,0.02,945.0
2023-06-21 02:00:00,17.23,0.67820334,tp,17.5746,2023-06-22 02:00:00,0.02,0.0
