trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
34,2025-04-01 02:00,90,"$1,904.98",50.94%,49.06%,1.9%,2025-04-02 02:00,"$1,933.55",TP,+1.50%,1,WIN
35,2025-04-04 02:00,93,"$1,816.87",51.10%,48.90%,2.2%,2025-04-05 02:00,"$1,803.24",SL,-0.75%,1,LOSS
36,2025-04-06 02:00,95,"$1,580.76",52.58%,47.42%,5.2%,2025-04-07 02:00,"$1,604.47",TP,+1.50%,1,WIN
37,2025-04-08 02:00,97,"$1,473.41",68.37%,31.63%,36.7%,2025-04-09 02:00,"$1,495.51",TP,+1.50%,1,WIN
38,2025-04-10 02:00,99,"$1,522.25",58.17%,41.83%,16.3%,2025-04-11 02:00,"$1,545.08",TP,+1.50%,1,WIN
39,2025-04-12 02:00,101,"$1,644.18",55.11%,44.89%,10.2%,2025-04-13 02:00,"$1,631.85",SL,-0.75%,1,LOSS
40,2025-04-15 02:00,104,"$1,588.78",51.10%,48.90%,2.2%,2025-04-16 02:00,"$1,612.61",TP,+1.50%,1,WIN
41,2025-04-22 02:00,111,"$1,756.26",53.48%,46.52%,7.0%,2025-04-23 02:00,"$1,782.60",TP,+1.50%,1,WIN
42,2025-04-24 02:00,113,"$1,769.65",64.17%,35.83%,28.3%,2025-04-25 02:00,"$1,796.19",TP,+1.50%,1,WIN
43,2025-04-26 02:00,115,"$1,820.88",58.55%,41.45%,17.1%,2025-04-27 02:00,"$1,848.19",TP,+1.50%,1,WIN
44,2025-04-29 02:00,118,"$1,797.81",58.50%,41.50%,17.0%,2025-04-30 02:00,"$1,784.33",SL,-0.75%,1,LOSS
45,2025-05-02 02:00,121,"$1,842.20",69.15%,30.85%,38.3%,2025-05-03 02:00,"$1,828.38",SL,-0.75%,1,LOSS
46,2025-05-04 02:00,123,"$1,808.86",74.96%,25.04%,49.9%,2025-05-05 02:00,"$1,795.29",SL,-0.75%,1,LOSS
47,2025-05-06 02:00,125,"$1,817.00",56.19%,43.81%,12.4%,2025-05-07 02:00,"$1,844.25",TP,+1.50%,1,WIN
48,2025-05-08 02:00,127,"$2,207.39",71.76%,28.24%,43.5%,2025-05-09 02:00,"$2,240.50",TP,+1.50%,1,WIN
49,2025-05-10 02:00,129,"$2,583.23",64.82%,35.18%,29.6%,2025-05-11 02:00,"$2,563.86",SL,-0.75%,1,LOSS
50,2025-05-12 02:00,131,"$2,495.47",75.84%,24.16%,51.7%,2025-05-13 02:00,"$2,532.90",TP,+1.50%,1,WIN
51,2025-05-14 02:00,133,"$2,609.74",84.23%,15.77%,68.5%,2025-05-15 02:00,"$2,590.17",SL,-0.75%,1,LOSS
52,2025-05-16 02:00,135,"$2,537.12",70.13%,29.87%,40.3%,2025-05-17 02:00,"$2,518.09",SL,-0.75%,1,LOSS
53,2025-05-18 02:00,137,"$2,497.78",76.74%,23.26%,53.5%,2025-05-19 02:00,"$2,535.25",TP,+1.50%,1,WIN
54,2025-05-20 02:00,139,"$2,524.19",77.22%,22.78%,54.4%,2025-05-21 02:00,"$2,562.05",TP,+1.50%,1,WIN
