trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
69,2025-08-13 02:00,224,$201.51,62.96%,37.04%,25.9%,2025-08-14 02:00,$204.53,TP,+1.50%,1,WIN
70,2025-08-15 02:00,226,$185.72,62.21%,37.79%,24.4%,2025-08-16 02:00,$188.51,TP,+1.50%,1,WIN
71,2025-08-18 02:00,229,$182.94,64.42%,35.58%,28.8%,2025-08-19 02:00,$185.68,TP,+1.50%,1,WIN
72,2025-08-22 02:00,233,$200.69,63.67%,36.33%,27.3%,2025-08-23 02:00,$203.70,TP,+1.50%,1,WIN
73,2025-08-24 02:00,235,$205.98,60.16%,39.84%,20.3%,2025-08-25 02:00,$209.07,TP,+1.50%,1,WIN
74,2025-09-02 02:00,244,$209.65,61.10%,38.90%,22.2%,2025-09-03 02:00,$212.79,TP,+1.50%,1,WIN
75,2025-09-04 02:00,246,$202.32,73.89%,26.11%,47.8%,2025-09-05 02:00,$205.35,TP,+1.50%,1,WIN
76,2025-09-08 02:00,250,$214.11,54.02%,45.98%,8.0%,2025-09-09 02:00,$217.32,TP,+1.50%,1,WIN
77,2025-09-12 02:00,254,$242.18,56.77%,43.23%,13.5%,2025-09-13 02:00,$240.36,SL,-0.75%,1,LOSS
78,2025-09-14 02:00,256,$239.76,51.28%,48.72%,2.6%,2025-09-15 02:00,$243.36,TP,+1.50%,1,WIN
79,2025-09-23 02:00,265,$213.30,68.05%,31.95%,36.1%,2025-09-24 02:00,$211.70,SL,-0.75%,1,LOSS
80,2025-10-01 02:00,273,$222.04,64.19%,35.81%,28.4%,2025-10-02 02:00,$225.37,TP,+1.50%,1,WIN
81,2025-10-03 02:00,275,$232.84,54.16%,45.84%,8.3%,2025-10-04 02:00,$231.09,SL,-0.75%,1,LOSS
82,2025-10-05 02:00,277,$228.56,58.39%,41.61%,16.8%,2025-10-06 02:00,$231.99,TP,+1.50%,1,WIN
83,2025-10-07 02:00,279,$219.97,62.08%,37.92%,24.2%,2025-10-08 02:00,$223.27,TP,+1.50%,1,WIN
84,2025-10-09 02:00,281,$220.93,51.41%,48.59%,2.8%,2025-10-10 02:00,$224.24,TP,+1.50%,1,WIN
85,2025-10-11 02:00,283,$177.62,63.84%,36.16%,27.7%,2025-10-12 02:00,$180.28,TP,+1.50%,1,WIN
86,2025-10-14 02:00,286,$202.44,51.70%,48.30%,3.4%,2025-10-15 02:00,$205.48,TP,+1.50%,1,WIN
87,2025-10-16 02:00,288,$184.85,77.88%,22.12%,55.8%,2025-10-17 02:00,$183.46,SL,-0.75%,1,LOSS
