trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
72,2025-11-06 01:00,309,"$101,346.04",62.45%,37.55%,24.9%,2025-11-07 01:00,"$102,866.23",TP,+1.50%,1,WIN
73,2025-11-08 01:00,311,"$102,312.94",74.67%,25.33%,49.3%,2025-11-09 01:00,"$103,847.63",TP,+1.50%,1,WIN
74,2025-11-10 01:00,313,"$106,011.13",69.53%,30.47%,39.1%,2025-11-11 01:00,"$105,216.05",SL,-0.75%,1,LOSS
75,2025-11-12 01:00,315,"$101,654.37",62.41%,37.59%,24.8%,2025-11-13 01:00,"$103,179.19",TP,+1.50%,1,WIN
76,2025-11-14 01:00,317,"$94,594.00",71.75%,28.25%,43.5%,2025-11-15 01:00,"$96,012.91",TP,+1.50%,1,WIN
77,2025-11-16 01:00,319,"$94,261.44",61.66%,38.34%,23.3%,2025-11-17 01:00,"$95,675.36",TP,+1.50%,1,WIN
78,2025-11-18 01:00,321,"$92,960.83",71.31%,28.69%,42.6%,2025-11-19 01:00,"$92,263.62",SL,-0.75%,1,LOSS
79,2025-11-20 01:00,323,"$86,637.23",79.44%,20.56%,58.9%,2025-11-21 01:00,"$85,987.45",SL,-0.75%,1,LOSS
80,2025-11-22 01:00,325,"$84,739.74",68.60%,31.40%,37.2%,2025-11-23 01:00,"$86,010.84",TP,+1.50%,1,WIN
81,2025-11-24 01:00,327,"$88,300.01",65.44%,34.56%,30.9%,2025-11-25 01:00,"$87,637.76",SL,-0.75%,1,LOSS
82,2025-11-26 01:00,329,"$90,484.02",53.90%,46.10%,7.8%,2025-11-27 01:00,"$91,841.28",TP,+1.50%,1,WIN
83,2025-11-28 01:00,331,"$90,890.70",53.46%,46.54%,6.9%,2025-11-29 01:00,"$90,209.02",SL,-0.75%,1,LOSS
84,2025-12-05 01:00,338,"$89,330.04",56.51%,43.49%,13.0%,2025-12-07 01:00,"$90,669.99",TP,+1.50%,2,WIN
85,2025-12-08 01:00,341,"$90,634.34",55.19%,44.81%,10.4%,2025-12-09 01:00,"$91,993.86",TP,+1.50%,1,WIN
86,2025-12-15 01:00,348,"$86,432.08",64.00%,36.00%,28.0%,2025-12-16 01:00,"$87,728.56",TP,+1.50%,1,WIN
87,2025-12-18 01:00,351,"$85,516.41",56.71%,43.29%,13.4%,2025-12-19 01:00,"$86,799.16",TP,+1.50%,1,WIN
